title,accuracy,macro_f1,high_precision,high_recall,high_f1,high_fbeta,roc_auc,pr_auc,tn,fp,fn,tp
VALIDATION_global_threshold,0.9054248679788767,0.8605085722346959,0.7857142857142857,0.7770419426048565,0.781354051054384,0.781354051054384,0.9385676945787457,0.8666993648063824,1534,96,101,352
VALIDATION_per_category_thresholds,0.9198271723475756,0.8809831978976246,0.825,0.8013245033112583,0.812989921612542,0.812989921612542,0.9385676945787457,0.8666993648063824,1553,77,90,363
STRICT_TARGET_TEST_global_threshold,0.9060879585173804,0.8619612589657011,0.784261715296198,0.7835689045936396,0.7839151568714097,0.7839151568714097,0.9342788701250839,0.8642865725876159,3831,244,245,887
STRICT_TARGET_TEST_per_category_thresholds,0.9166506625696178,0.8770545868890317,0.8116071428571429,0.8030035335689046,0.8072824156305506,0.8072824156305506,0.9342788701250839,0.8642865725876159,3864,211,223,909
VALIDATION_xgb_baseline_for_blend,0.9231877100336053,0.8833788228707398,0.8547215496368039,0.7792494481236203,0.815242494226328,0.815242494226328,0.9511856877801703,0.8872109461567476,1570,60,100,353
STRICT_TARGET_TEST_xgb_baseline_for_blend,0.919723449202996,0.8779196842832655,0.8472762645914397,0.769434628975265,0.8064814814814815,0.8064814814814815,0.9460148713390708,0.891069138049217,3918,157,261,871
VALIDATION_v4_xgb_probability_blend,0.9265482477196352,0.89078263551546,0.8424657534246576,0.8145695364238411,0.8282828282828283,0.8282828282828283,0.9558377009439455,0.8963469681444373,1561,69,84,369
STRICT_TARGET_TEST_v4_xgb_probability_blend,0.9220280391780296,0.8849865490252233,0.8241071428571428,0.8153710247349824,0.8197158081705151,0.8197158081705151,0.9486962648225629,0.8940878148333794,3878,197,209,923
