title,accuracy,macro_f1,low_precision,low_recall,low_f1,medium_precision,medium_recall,medium_f1,medium_fbeta,roc_auc,pr_auc_medium,tn_low,fp_low_as_medium,fn_medium_as_low,tp_medium
VALIDATION LOW vs MEDIUM,0.8766687857596949,0.8156459478138154,0.7821782178217822,0.6493150684931507,0.7095808383233533,0.8992125984251969,0.945364238410596,0.9217110573042776,0.9258885137829288,0.8782364147691191,0.9480117020431016,237,128,66,1142
STRICT TARGET TEST LOW vs MEDIUM,0.8575788402848423,0.7891491966311673,0.7247119078104993,0.6212952799121844,0.6690307328605201,0.8905109489051095,0.9288315127441245,0.9092676604018146,0.9127344279079191,0.8713516907443721,0.9462198856103246,566,345,215,2806
